                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.3276,                 4.2047,                 4.3093,                0.00218,                 0.6125,                0.00563,                0.00179,                 2.8455,                  4.419,                 4.1572,                0.00032,                0.00032,                0.00032
                      2,                 2.9979,                 4.4726,                 4.2098,                0.00213,                    0.6,                0.00673,                0.00188,                 2.8356,                 4.3763,                 4.1453,              0.0006006,              0.0006006,              0.0006006
                      3,                 2.8639,                 4.1563,                 4.0593,                0.00218,                 0.6125,                0.00663,                0.00201,                 2.8294,                 4.2275,                  4.106,                0.00082,                0.00082,                0.00082
                      4,                 2.9146,                 3.7602,                 3.9142,                0.00222,                  0.625,                0.00467,                0.00147,                 2.8057,                 4.0996,                 4.1234,              0.0009782,              0.0009782,              0.0009782
                      5,                 2.7798,                 3.5151,                 3.7073,                0.00378,                 0.5625,                0.04492,                0.01256,                 2.7771,                 3.9474,                 4.0493,              0.0010752,              0.0010752,              0.0010752
                      6,                 2.7084,                 3.2203,                 3.5497,                0.23327,                 0.0375,                 0.0744,                0.02105,                 2.6805,                 3.5437,                 3.5936,                 0.0011,                 0.0011,                 0.0011
                      7,                 2.7874,                 2.9901,                 3.4705,                0.76015,                 0.0375,                0.18809,                0.06562,                 2.4963,                 3.3892,                 3.3542,                0.00092,                0.00092,                0.00092
                      8,                 2.5272,                 2.7695,                 3.3717,                0.64549,                 0.3375,                0.44406,                 0.1647,                 2.3784,                 2.8707,                 3.3808,                0.00074,                0.00074,                0.00074
                      9,                 2.5104,                 2.6888,                 3.2967,                0.55711,                    0.4,                0.37726,                0.12301,                 2.3459,                 2.7073,                 3.2152,                0.00056,                0.00056,                0.00056
                     10,                 2.2649,                 2.4786,                 3.1229,                0.53827,                0.55377,                0.59462,                0.26701,                  2.097,                 2.3134,                 3.0676,                0.00038,                0.00038,                0.00038
                     11,                 2.2846,                 2.4748,                 3.0981,                0.52566,                 0.5125,                0.58837,                0.26119,                 2.1382,                 2.2842,                 3.0851,                 0.0002,                 0.0002,                 0.0002
