                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.2887,                 4.1722,                 4.3286,                0.00218,                 0.6125,                0.00856,                0.00251,                 2.8447,                 4.0163,                 4.1568,                0.00032,                0.00032,                0.00032
                      2,                 2.8608,                 4.4725,                 4.2176,                0.00218,                 0.6125,                0.00385,                0.00121,                  2.837,                 4.0302,                 4.1512,              0.0006006,              0.0006006,              0.0006006
                      3,                 2.9121,                 4.2046,                 4.0746,                0.00218,                 0.6125,                0.00338,                0.00117,                  2.821,                 3.9899,                 4.1357,                0.00082,                0.00082,                0.00082
                      4,                 2.8353,                 3.6388,                 3.8453,                0.00209,                 0.5875,                0.00507,                0.00165,                 2.8051,                 3.4568,                 4.1369,              0.0009782,              0.0009782,              0.0009782
                      5,                 2.7435,                 3.3325,                 3.6509,                0.00339,                 0.4125,                0.00639,                0.00189,                  2.831,                 3.6094,                 4.2851,              0.0010752,              0.0010752,              0.0010752
                      6,                  2.652,                 3.1949,                 3.5077,                0.16519,                0.05944,                0.05049,                 0.0185,                  2.634,                 3.5055,                 3.6649,                 0.0011,                 0.0011,                 0.0011
                      7,                 2.5876,                 3.0102,                 3.4231,                0.23697,                  0.125,                0.11977,                0.04822,                 2.4109,                 3.0982,                 3.5301,                0.00092,                0.00092,                0.00092
                      8,                 2.4548,                 2.7845,                 3.2568,                0.47598,                0.40879,                0.50451,                0.21123,                 2.2315,                  2.156,                 3.1905,                0.00074,                0.00074,                0.00074
                      9,                 2.3874,                 2.6909,                  3.163,                0.44577,                   0.45,                0.39391,                0.14959,                  2.172,                 2.0549,                 3.1212,                0.00056,                0.00056,                0.00056
                     10,                 2.2723,                 2.5508,                  3.133,                0.56459,                0.53491,                0.57496,                0.24205,                 2.0895,                 1.9233,                 3.0282,                0.00038,                0.00038,                0.00038
                     11,                 2.2286,                 2.4609,                 3.0945,                0.65466,                   0.45,                0.63338,                0.30492,                 1.9678,                 1.9473,                 2.9397,                 0.0002,                 0.0002,                 0.0002
